0.004717,0.98113,0.98113,0,0,0.004717,0.004717,0,0.9434,0,0.66509,0,0.66509,0.99528,0,0.51415,0,0,1,1,0,0.66509,0,0.98113,0,0,0,0,0,0.99528,0.9434,0.98113,0,0.004717,0,0,0.66509,0.99528,0,0.66509,0.004717,0,0,0.98113
0.004717,0.98113,0.98113,0,0,0.004717,0.004717,0,0.9434,0,0.66509,0,0.66509,0.99528,0,0.51415,0,0,1,1,0,0.66509,0,0.98113,0,0,0,0,0,0.99528,0.9434,0.98113,0,0.004717,0,0,0.66509,0.99528,0,0.66509,0.004717,0,0,0.98113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33962,0.64623,0.64623,0,0,0.009434,0.33962,0.23585,0.71226,0,1,0.23585,1,0.66038,0,0.84906,0,0,0.66509,0.66509,0,1,0.10849,0.64623,0,0,0.23585,0,0.10849,0.66038,0.71226,0.64623,0.10849,0.009434,0,0,1,0.66038,0.004717,1,0.33962,0.23585,0,0.64623
0.18868,0,0,0.51415,0,0.099057,0.18868,0.48585,0,0,0.10849,0.48585,0.10849,0,0.51415,0.17925,0.51415,0,0,0,0,0.10849,1,0,0.51415,0.51415,0.48585,0.056604,1,0,0,0,1,0.099057,0.51415,0.056604,0.10849,0,0.54245,0.10849,0.18868,0.48585,0.056604,0
0,1,1,0,0,0,0,0,0.93396,0,0.64623,0,0.64623,0.98585,0,0.50943,0,0,0.98113,0.98113,0,0.64623,0,1,0,0,0,0,0,0.98585,0.93396,1,0,0,0,0,0.64623,0.98585,0,0.64623,0,0,0,1
0,0,0,1,0,0.09434,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.51415,0,1,1,0,0.11792,0.51415,0,0,0,0.51415,0.09434,1,0.11792,0,0,0.9717,0,0,0,0.11792,0
0,0,0,1,0,0.09434,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.51415,0,1,1,0,0.11792,0.51415,0,0,0,0.51415,0.09434,1,0.11792,0,0,0.9717,0,0,0,0.11792,0
0.37264,0,0,0,0.12736,0.089623,0.37264,1,0,0,0.23585,1,0.23585,0,0,0.36321,0,0,0,0,0,0.23585,0.48585,0,0,0,1,0,0.48585,0,0,0,0.48585,0.089623,0,0,0.23585,0,0.028302,0.23585,0.37264,1,0,0
0.52358,0,0,0.11792,0,0.90094,0.52358,0,0,0,0,0,0,0,0.11792,0.023585,0.11792,0,0,0,0,0,0.056604,0,0.11792,0.11792,0,1,0.056604,0,0,0,0.056604,0.90094,0.11792,1,0,0,0.11321,0,0.52358,0,1,0
0.18868,0,0,0.51415,0,0.099057,0.18868,0.48585,0,0,0.10849,0.48585,0.10849,0,0.51415,0.17925,0.51415,0,0,0,0,0.10849,1,0,0.51415,0.51415,0.48585,0.056604,1,0,0,0,1,0.099057,0.51415,0.056604,0.10849,0,0.54245,0.10849,0.18868,0.48585,0.056604,0
0,0.98585,0.98585,0,0,0,0,0,0.94811,0,0.66038,0,0.66038,1,0,0.50943,0,0,0.99528,0.99528,0,0.66038,0,0.98585,0,0,0,0,0,1,0.94811,0.98585,0,0,0,0,0.66038,1,0,0.66038,0,0,0,0.98585
0.051887,0.93396,0.93396,0,0,0,0.051887,0,1,0,0.71226,0,0.71226,0.94811,0,0.56132,0,0,0.9434,0.9434,0,0.71226,0,0.93396,0,0,0,0,0,0.94811,1,0.93396,0,0,0,0,0.71226,0.94811,0,0.71226,0.051887,0,0,0.93396
0,1,1,0,0,0,0,0,0.93396,0,0.64623,0,0.64623,0.98585,0,0.50943,0,0,0.98113,0.98113,0,0.64623,0,1,0,0,0,0,0,0.98585,0.93396,1,0,0,0,0,0.64623,0.98585,0,0.64623,0,0,0,1
0.18868,0,0,0.51415,0,0.099057,0.18868,0.48585,0,0,0.10849,0.48585,0.10849,0,0.51415,0.17925,0.51415,0,0,0,0,0.10849,1,0,0.51415,0.51415,0.48585,0.056604,1,0,0,0,1,0.099057,0.51415,0.056604,0.10849,0,0.54245,0.10849,0.18868,0.48585,0.056604,0
0.62264,0,0,0.09434,0,1,0.62264,0.089623,0,0,0.009434,0.089623,0.009434,0,0.09434,0.11321,0.09434,0,0.004717,0.004717,0,0.009434,0.099057,0,0.09434,0.09434,0.089623,0.90094,0.099057,0,0,0,0.099057,1,0.09434,0.90094,0.009434,0,0.09434,0.009434,0.62264,0.089623,0.90094,0
0,0,0,1,0,0.09434,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.51415,0,1,1,0,0.11792,0.51415,0,0,0,0.51415,0.09434,1,0.11792,0,0,0.9717,0,0,0,0.11792,0
0.52358,0,0,0.11792,0,0.90094,0.52358,0,0,0,0,0,0,0,0.11792,0.023585,0.11792,0,0,0,0,0,0.056604,0,0.11792,0.11792,0,1,0.056604,0,0,0,0.056604,0.90094,0.11792,1,0,0,0.11321,0,0.52358,0,1,0
0.33962,0.64623,0.64623,0,0,0.009434,0.33962,0.23585,0.71226,0,1,0.23585,1,0.66038,0,0.84906,0,0,0.66509,0.66509,0,1,0.10849,0.64623,0,0,0.23585,0,0.10849,0.66038,0.71226,0.64623,0.10849,0.009434,0,0,1,0.66038,0.004717,1,0.33962,0.23585,0,0.64623
0,0.98585,0.98585,0,0,0,0,0,0.94811,0,0.66038,0,0.66038,1,0,0.50943,0,0,0.99528,0.99528,0,0.66038,0,0.98585,0,0,0,0,0,1,0.94811,0.98585,0,0,0,0,0.66038,1,0,0.66038,0,0,0,0.98585
0.009434,0,0,0.9717,0,0.09434,0.009434,0.028302,0,0,0.004717,0.028302,0.004717,0,0.9717,0.009434,0.9717,0,0,0,0,0.004717,0.54245,0,0.9717,0.9717,0.028302,0.11321,0.54245,0,0,0,0.54245,0.09434,0.9717,0.11321,0.004717,0,1,0.004717,0.009434,0.028302,0.11321,0
0.33962,0.64623,0.64623,0,0,0.009434,0.33962,0.23585,0.71226,0,1,0.23585,1,0.66038,0,0.84906,0,0,0.66509,0.66509,0,1,0.10849,0.64623,0,0,0.23585,0,0.10849,0.66038,0.71226,0.64623,0.10849,0.009434,0,0,1,0.66038,0.004717,1,0.33962,0.23585,0,0.64623
1,0,0,0,0,0.62264,1,0.37264,0.051887,0,0.33962,0.37264,0.33962,0,0,0.49057,0,0,0.004717,0.004717,0,0.33962,0.18868,0,0,0,0.37264,0.52358,0.18868,0,0.051887,0,0.18868,0.62264,0,0.52358,0.33962,0,0.009434,0.33962,1,0.37264,0.52358,0
0.37264,0,0,0,0.12736,0.089623,0.37264,1,0,0,0.23585,1,0.23585,0,0,0.36321,0,0,0,0,0,0.23585,0.48585,0,0,0,1,0,0.48585,0,0,0,0.48585,0.089623,0,0,0.23585,0,0.028302,0.23585,0.37264,1,0,0
0.52358,0,0,0.11792,0,0.90094,0.52358,0,0,0,0,0,0,0,0.11792,0.023585,0.11792,0,0,0,0,0,0.056604,0,0.11792,0.11792,0,1,0.056604,0,0,0,0.056604,0.90094,0.11792,1,0,0,0.11321,0,0.52358,0,1,0
0,1,1,0,0,0,0,0,0.93396,0,0.64623,0,0.64623,0.98585,0,0.50943,0,0,0.98113,0.98113,0,0.64623,0,1,0,0,0,0,0,0.98585,0.93396,1,0,0,0,0,0.64623,0.98585,0,0.64623,0,0,0,1
