data_clust.clust clusters clusters.1 clusters.2 clusters.3 clusters.4 clusters.5 clusters.6 clusters.7 clusters.8 clusters.9 clusters.10 clusters.11 clusters.12 clusters.13 clusters.14 clusters.15 clusters.16 clusters.17 clusters.18 clusters.19 clusters.20 clusters.21 clusters.22 clusters.23 clusters.24 clusters.25 clusters.26 clusters.27 clusters.28 clusters.29 clusters.30 clusters.31 clusters.32 clusters.33 clusters.34 clusters.35 clusters.36 clusters.37 clusters.38 clusters.39 clusters.40 clusters.41 clusters.42 clusters.43 clusters.44 clusters.45 clusters.46 clusters.47 clusters.48 clusters.49 clusters.50 clusters.51 clusters.52 clusters.53 clusters.54 clusters.55 clusters.56 clusters.57 clusters.58 clusters.59 clusters.60 clusters.61 clusters.62 clusters.63 clusters.64 clusters.65 clusters.66 clusters.67 clusters.68 clusters.69 clusters.70 clusters.71 clusters.72 clusters.73 clusters.74 clusters.75 clusters.76 clusters.77 clusters.78 clusters.79 clusters.80 clusters.81 clusters.82 clusters.83 clusters.84 clusters.85 clusters.86 clusters.87 clusters.88 clusters.89 clusters.90 clusters.91 clusters.92 clusters.93 clusters.94 clusters.95 clusters.96 clusters.97 clusters.98 clusters.99 clusters.100 clusters.101 clusters.102 clusters.103 clusters.104 clusters.105 clusters.106 clusters.107 clusters.108 clusters.109 clusters.110 clusters.111 clusters.112 clusters.113 clusters.114 clusters.115 clusters.116 clusters.117 clusters.118 clusters.119 clusters.120 clusters.121 clusters.122 clusters.123 clusters.124 clusters.125 clusters.126 clusters.127 clusters.128 clusters.129 clusters.130 clusters.131 clusters.132 clusters.133 clusters.134 clusters.135 clusters.136 clusters.137 clusters.138 clusters.139 clusters.140 clusters.141 clusters.142 clusters.143 clusters.144 clusters.145 clusters.146 clusters.147 clusters.148 clusters.149 clusters.150 clusters.151 clusters.152 clusters.153 clusters.154 clusters.155 clusters.156 clusters.157 clusters.158 clusters.159 clusters.160 clusters.161 clusters.162 clusters.163 clusters.164 clusters.165 clusters.166 clusters.167 clusters.168 clusters.169 clusters.170 clusters.171 clusters.172 clusters.173 clusters.174 clusters.175 clusters.176 clusters.177 clusters.178 clusters.179 clusters.180 clusters.181 clusters.182 clusters.183 clusters.184 clusters.185 clusters.186 clusters.187 clusters.188 clusters.189 clusters.190 clusters.191 clusters.192 clusters.193 clusters.194 clusters.195 clusters.196 clusters.197 clusters.198 clusters.199 clusters.200 clusters.201 clusters.202 clusters.203 clusters.204 clusters.205 clusters.206 clusters.207 clusters.208 clusters.209 clusters.210 clusters.211 clusters.212
11 2 1 2 1 1 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2 1 2 1 2 2 2 2 2 2 2 1 2 2 1 1 1 2 2 1 2 2 1 2 2 2 2 1 1 1 2 2 2 1 2 1 2 1 1 1 2 2 2 2 2 2 2 2 1 1 2 1 2 2 2 2 2 2 2 1 2 2 1 2 1 2 2 1 2 2 2 1 2 2 1 2 2 1 2 1 2 2 1 2 1 2 1 1 2 1 1 2 2 2 1 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 2 1 2 5 2 1 2 2 2 2 2 5 2 2 1 2 2 1 2 2 2 1 1 2 1 2 1 2 1 2 1 2 2 2 2 2 1 2 2 2 2 1 1 2 1 2 2 2 2 2 2 1 2 1 1 2 2 2 2 2 5 1 2 2 2 1
12 5 1 5 1 4 5 5 1 5 5 5 4 5 1 5 5 5 1 5 5 5 1 1 1 1 1 5 4 5 5 5 5 5 1 5 5 5 1 5 5 5 1 5 5 1 1 5 1 5 1 1 5 1 1 1 1 5 1 1 4 5 5 4 1 5 1 5 1 4 4 4 5 5 5 5 1 4 5 4 1 5 5 5 5 1 5 5 5 5 1 1 1 1 5 1 4 5 1 1 5 5 5 1 5 1 5 5 1 4 1 1 5 1 5 5 5 1 1 5 1 1 4 5 5 1 5 1 1 5 5 5 4 4 5 1 5 5 5 1 1 5 5 1 4 5 5 5 5 1 5 1 5 1 5 5 1 5 5 1 5 5 1 5 5 4 4 5 4 1 1 1 1 1 4 5 1 5 1 5 5 4 1 5 1 5 5 5 4 1 1 5 1 5 4 5 5 5 5 1 4 4 1 5 5 5 5 1 1 1 1 4 1 4
13 2 1 2 1 1 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2 1 2 1 2 2 2 2 2 2 2 1 2 2 1 1 1 2 2 1 2 2 1 2 2 2 2 1 1 1 2 2 2 1 2 1 2 1 1 1 2 2 2 2 2 2 2 2 1 1 2 1 2 2 2 2 2 2 2 1 2 2 1 2 1 2 2 1 2 2 2 1 2 2 1 2 2 1 2 1 2 2 1 2 1 2 1 1 2 1 1 2 2 2 1 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 2 1 2 5 2 1 2 2 2 2 2 5 2 2 1 2 2 1 2 2 2 1 1 2 1 2 1 2 1 2 1 2 2 2 2 2 1 2 2 2 2 1 1 2 1 2 2 2 2 2 2 1 2 1 1 2 2 2 2 2 5 1 2 2 2 1
14 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2
15 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
16 2 1 2 1 1 2 2 1 2 2 1 1 2 1 2 2 2 1 2 2 2 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 2 2 2 2 2 1 2 2 1 1 1 1 2 1 1 2 1 1 1 1 2 1 1 1 2 2 2 1 1 1 2 1 1 1 2 2 2 2 2 1 2 2 1 1 2 1 2 2 1 2 2 2 2 1 1 2 1 2 1 2 2 1 1 2 2 1 1 2 1 2 2 1 2 1 1 2 1 2 1 2 1 1 2 1 1 2 2 2 1 2 1 1 2 2 1 2 2 2 1 2 2 2 1 1 2 2 1 1 1 1 1 2 1 2 1 2 1 2 2 1 2 2 1 2 2 1 2 2 1 2 2 1 1 1 1 1 1 1 2 1 2 1 2 2 2 1 2 1 2 2 2 2 1 1 2 1 2 1 2 2 2 2 1 2 1 1 2 2 2 2 1 1 1 1 2 1 1
17 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
18 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 5 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 5 6 6 6
19 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 1
20 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 1
21 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 5 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 5 6 6 6
22 2 1 2 1 1 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2 1 2 1 2 2 2 2 2 2 2 1 2 2 1 1 1 2 2 1 2 2 1 2 2 2 2 1 1 1 2 2 2 1 2 1 2 1 1 1 2 2 2 2 2 2 2 2 1 1 2 1 2 2 2 2 2 2 2 1 2 2 1 2 1 2 2 1 2 2 2 1 2 2 1 2 2 1 2 1 2 2 1 2 1 2 1 1 2 1 1 2 2 2 1 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 2 1 2 5 2 1 2 2 2 2 2 5 2 2 1 2 2 1 2 2 2 1 1 2 1 2 1 2 1 2 1 2 2 2 2 2 1 2 2 2 2 1 1 2 1 2 2 2 2 2 2 1 2 1 1 2 2 2 2 2 5 1 2 2 2 1
23 3 3 5 3 3 5 5 1 5 5 5 3 3 1 5 3 3 1 5 5 5 1 3 3 3 3 5 3 3 3 3 5 5 1 5 3 3 1 3 5 5 3 5 5 3 3 5 1 5 1 3 5 3 3 1 3 5 3 3 3 3 3 3 1 5 3 5 3 3 3 3 3 3 3 3 1 3 3 3 1 3 5 5 5 3 5 5 3 3 1 3 1 3 5 1 3 3 3 1 3 5 5 1 3 1 5 5 1 3 3 3 5 1 5 5 5 1 1 3 3 1 3 3 3 1 5 1 3 3 5 5 3 3 5 3 3 3 3 3 3 5 5 1 3 5 5 5 5 1 3 1 3 1 3 5 3 3 3 1 5 3 3 5 3 3 3 5 3 3 3 3 1 1 3 5 3 3 1 5 3 3 1 3 1 5 5 3 3 1 3 5 3 5 3 5 5 5 3 3 3 3 3 3 3 5 5 3 1 1 1 3 1 3
24 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
25 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
26 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
